-,AGUA DE DIOS,ALBÁN,ANAPOIMA,ANOLAIMA,APULO,ARBELÁEZ,BELTRÁN,BITUIMA,BOJACÁ,CABRERA,CACHIPAY,CAJICÁ,CAPARRAPÍ,CAQUEZA,CARMEN DE CARUPA,CHAGUANÍ,CHÍA,CHIPAQUE,CHOACHÍ,CHOCONTÁ,COGUA,COTA,CUCUNUBÁ,EL COLEGIO,EL PEÑÓN,EL ROSAL,FACATATIVÁ,FOMEQUE,FOSCA,FUNZA,FÚQUENE,FUSAGASUGÁ,GACHALA,GACHANCIPÁ,GACHETÁ,GAMA,GIRARDOT,GRANADA,GUACHETÁ,GUADUAS,GUASCA,GUATAQUÍ,GUATAVITA,GUAYABAL DE SIQUIMA,GUAYABETAL,GUTIÉRREZ,JERUSALÉN,JUNÍN,LA CALERA,LA MESA,LA PALMA,LA PEÑA,LA VEGA,LENGUAZAQUE,MACHETA,MADRID,MANTA,MEDINA,MOSQUERA,NARIÑO,NEMOCÓN,NILO,NIMAIMA,NOCAIMA,PACHO,PAIME,PANDI,PARATEBUENO,PASCA,PUERTO SALGAR,PULÍ,QUEBRADANEGRA,QUETAME,QUIPILE,RICAURTE,SAN ANTONIO DEL TEQUENDAMA,SAN BERNARDO,SAN CAYETANO,SAN FRANCISCO,SAN JUAN DE RÍO SECO,SASAIMA,SESQUILÉ,SIBATÉ,SILVANIA,SIMIJACA,SOACHA,SOPÓ,SUBACHOQUE,SUESCA,SUPATÁ,SUSA,SUTATAUSA,TABIO,TAUSA,TENA,TENJO,TIBACUY,TIBIRITA,TOCAIMA,TOCANCIPÁ,TOPAIPÍ,UBALÁ,UBAQUE,UNE,ÚTICA,VENECIA,VERGARA,VIANÍ,VILLA DE SAN DIEGO DE UBATE,VILLAGÓMEZ,VILLAPINZÓN,VILLETA,VIOTÁ,YACOPÍ,ZIPACÓN,ZIPAQUIRÁ,
PASCA,6 hours 38 mins,5 hours 34 mins,5 hours 59 mins,5 hours 57 mins,6 hours 10 mins,5 hours 58 mins,7 hours 35 mins,6 hours 11 mins,4 hours 35 mins,5 hours 8 mins,7 hours 14 mins,7 hours 36 mins,5 hours 10 mins,8 hours 13 mins,3 hours 2 mins,6 hours 43 mins,7 hours 3 mins,5 hours 4 mins,3 hours 18 mins,4 hours 17 mins,5 hours 5 mins,5 hours 30 mins,4 hours 58 mins,5 hours 59 mins,5 hours 57 mins,7 hours 23 mins,5 hours 9 mins,5 hours 9 mins,4 hours 12 mins,3 hours 19 mins,4 hours 48 mins,6 hours 36 mins,5 hours 27 mins,4 hours 21 mins,5 hours 17 mins,5 hours 7 mins,5 hours 12 mins,6 hours 38 mins,4 hours 53 mins,6 hours 38 mins,7 hours 13 mins,5 hours 44 mins,7 hours 6 mins,5 hours 25 mins,5 hours 51 mins,2 hours 21 mins,4 hours 17 mins,6 hours 48 mins,5 hours 32 mins,5 hours 9 mins,5 hours 37 mins,8 hours 47 mins,7 hours 4 mins,5 hours 44 mins,6 hours 17 mins,4 hours 35 mins,4 hours 52 mins,4 hours 26 mins,41 mins,5 hours 13 mins,6 hours 54 mins,5 hours 35 mins,6 hours 46 mins,6 hours 24 mins,6 hours 1 min,6 hours 27 mins,8 hours 16 mins,6 hours 14 mins,1 min,5 hours 49 mins,8 hours 14 mins,7 hours 36 mins,6 hours 40 mins,2 hours 47 mins,6 hours 29 mins,6 hours 33 mins,5 hours 21 mins,6 hours 39 mins,7 hours 58 mins,5 hours 43 mins,6 hours 46 mins,6 hours 14 mins,5 hours 7 mins,4 hours 46 mins,5 hours 21 mins,6 hours 58 mins,4 hours 23 mins,5 hours 18 mins,5 hours 21 mins,5 hours 17 mins,6 hours 19 mins,6 hours 47 mins,6 hours 4 mins,5 hours 26 mins,5 hours 53 mins,5 hours 24 mins,5 hours 13 mins,5 hours 45 mins,4 hours 22 mins,6 hours 31 mins,5 hours 16 mins,8 hours 11 mins,4 hours 20 mins,3 hours 46 mins,3 hours 22 mins,6 hours 59 mins,6 hours 54 mins,6 hours 30 mins,6 hours 18 mins,6 hours 14 mins,7 hours 29 mins,5 hours 10 mins,6 hours 12 mins,6 hours 12 mins,9 hours 7 mins,5 hours 14 mins,5 hours 26 mins
PUERTO SALGAR,2 hours 11 mins,2 hours 39 mins,2 hours 41 mins,3 hours 2 mins,2 hours 39 mins,1 hour 7 mins,2 hours 51 mins,3 hours 16 mins,2 hours 15 mins,2 hours 14 mins,2 hours 46 mins,4 hours 27 mins,2 hours 49 mins,5 hours 3 mins,3 hours 5 mins,4 hours 22 mins,4 hours 9 mins,2 hours 42 mins,2 hours 39 mins,3 hours 13 mins,3 hours 25 mins,3 hours 9 mins,2 hours 17 mins,4 hours 6 mins,2 hours 31 mins,5 hours 2 mins,2 hours 24 mins,2 hours 14 mins,3 hours 47 mins,3 hours 39 mins,1 hour 56 mins,4 hours 15 mins,28 mins,6 hours 0 mins,2 hours 57 mins,4 hours 38 mins,5 hours 7 mins,1 hour 53 mins,1 hour 4 mins,4 hours 37 mins,4 hours 12 mins,3 hours 24 mins,2 hours 21 mins,3 hours 31 mins,2 hours 57 mins,3 hours 35 mins,4 hours 28 mins,2 hours 53 mins,4 hours 47 mins,2 hours 48 mins,2 hours 19 mins,6 hours 9 mins,4 hours 19 mins,2 hours 58 mins,4 hours 32 mins,3 hours 37 mins,1 hour 57 mins,4 hours 10 mins,6 hours 5 mins,1 hour 56 mins,2 hours 8 mins,3 hours 23 mins,2 hours 1 min,3 hours 39 mins,3 hours 16 mins,4 hours 6 mins,5 hours 55 mins,1 hour 28 mins,5 hours 57 mins,1 min,4 hours 17 mins,3 hours 23 mins,3 hours 55 mins,3 hours 22 mins,3 hours 30 mins,1 hour 47 mins,1 hour 55 mins,1 hour 48 mins,5 hours 37 mins,2 hours 58 mins,3 hours 49 mins,3 hours 20 mins,3 hours 11 mins,1 hour 17 mins,50 mins,4 hours 37 mins,1 hour 30 mins,2 hours 56 mins,2 hours 43 mins,3 hours 18 mins,3 hours 34 mins,4 hours 25 mins,3 hours 42 mins,2 hours 46 mins,3 hours 31 mins,2 hours 5 mins,2 hours 31 mins,1 hour 12 mins,4 hours 5 mins,2 hours 34 mins,2 hours 54 mins,5 hours 49 mins,5 hours 24 mins,3 hours 33 mins,3 hours 6 mins,4 hours 14 mins,2 hours 9 mins,3 hours 45 mins,3 hours 23 mins,3 hours 53 mins,5 hours 7 mins,3 hours 30 mins,3 hours 27 mins,2 hours 47 mins,6 hours 17 mins,2 hours 19 mins,3 hours 4 mins
PULÍ,3 hours 9 mins,2 hours 58 mins,3 hours 22 mins,3 hours 55 mins,3 hours 8 mins,3 hours 58 mins,1 hour 26 mins,2 hours 28 mins,3 hours 53 mins,3 hours 46 mins,4 hours 54 mins,48 mins,4 hours 13 mins,1 hour 7 mins,5 hours 27 mins,5 hours 46 mins,1 hour 57 mins,3 hours 58 mins,5 hours 1 min,5 hours 13 mins,4 hours 51 mins,4 hours 33 mins,3 hours 37 mins,5 hours 30 mins,4 hours 3 mins,3 hours 18 mins,3 hours 11 mins,3 hours 22 mins,5 hours 47 mins,6 hours 2 mins,3 hours 43 mins,5 hours 39 mins,3 hours 37 mins,7 hours 28 mins,4 hours 24 mins,6 hours 6 mins,6 hours 36 mins,2 hours 34 mins,3 hours 58 mins,6 hours 1 min,1 hour 1 min,4 hours 53 mins,1 hour 52 mins,4 hours 57 mins,2 hours 48 mins,5 hours 57 mins,6 hours 50 mins,2 hours 26 mins,6 hours 15 mins,4 hours 32 mins,3 hours 42 mins,2 hours 12 mins,3 hours 12 mins,2 hours 34 mins,5 hours 56 mins,5 hours 3 mins,3 hours 44 mins,5 hours 37 mins,8 hours 28 mins,4 hours 1 min,2 hours 6 mins,4 hours 47 mins,2 hours 58 mins,2 hours 56 mins,2 hours 36 mins,3 hours 56 mins,5 hours 14 mins,3 hours 36 mins,8 hours 19 mins,3 hours 59 mins,1 min,2 hours 27 mins,2 hours 41 mins,5 hours 44 mins,3 hours 14 mins,2 hours 46 mins,4 hours 36 mins,4 hours 22 mins,5 hours 36 mins,2 hours 51 mins,2 hours 4 mins,2 hours 27 mins,4 hours 38 mins,4 hours 29 mins,3 hours 44 mins,6 hours 24 mins,4 hours 28 mins,4 hours 23 mins,3 hours 33 mins,4 hours 45 mins,3 hours 27 mins,5 hours 50 mins,5 hours 7 mins,4 hours 0 mins,4 hours 56 mins,3 hours 59 mins,3 hours 42 mins,4 hours 4 mins,5 hours 32 mins,2 hours 58 mins,4 hours 21 mins,4 hours 5 mins,6 hours 53 mins,5 hours 33 mins,5 hours 28 mins,1 hour 33 mins,4 hours 17 mins,3 hours 5 mins,2 hours 20 mins,5 hours 17 mins,4 hours 26 mins,4 hours 57 mins,2 hours 11 mins,3 hours 16 mins,2 hours 20 mins,3 hours 46 mins,4 hours 28 mins
QUEBRADANEGRA,2 hours 0 mins,2 hours 3 mins,2 hours 11 mins,2 hours 48 mins,1 hour 57 mins,3 hours 6 mins,1 hour 3 mins,1 hour 27 mins,3 hours 34 mins,2 hours 51 mins,4 hours 2 mins,2 hours 38 mins,3 hours 54 mins,3 hours 15 mins,4 hours 51 mins,5 hours 27 mins,1 hour 39 mins,3 hours 39 mins,4 hours 25 mins,4 hours 40 mins,4 hours 33 mins,4 hours 14 mins,3 hours 18 mins,5 hours 12 mins,2 hours 52 mins,5 hours 2 mins,2 hours 51 mins,2 hours 28 mins,5 hours 14 mins,5 hours 26 mins,2 hours 59 mins,5 hours 20 mins,2 hours 45 mins,7 hours 9 mins,4 hours 5 mins,5 hours 47 mins,6 hours 17 mins,1 hour 42 mins,3 hours 6 mins,5 hours 42 mins,2 hours 23 mins,4 hours 34 mins,1 hour 0 mins,4 hours 39 mins,1 hour 47 mins,5 hours 21 mins,6 hours 14 mins,1 hour 16 mins,5 hours 57 mins,4 hours 13 mins,2 hours 32 mins,4 hours 21 mins,4 hours 3 mins,3 hours 30 mins,5 hours 37 mins,4 hours 45 mins,2 hours 49 mins,5 hours 18 mins,7 hours 51 mins,3 hours 7 mins,1 hour 15 mins,4 hours 28 mins,2 hours 6 mins,3 hours 47 mins,3 hours 27 mins,5 hours 0 mins,6 hours 55 mins,2 hours 44 mins,7 hours 43 mins,3 hours 7 mins,2 hours 29 mins,1 min,3 hours 31 mins,5 hours 8 mins,2 hours 13 mins,1 hour 54 mins,3 hours 21 mins,3 hours 30 mins,6 hours 40 mins,3 hours 27 mins,51 mins,2 hours 34 mins,4 hours 19 mins,3 hours 37 mins,2 hours 52 mins,5 hours 42 mins,3 hours 33 mins,4 hours 4 mins,3 hours 13 mins,4 hours 26 mins,4 hours 3 mins,5 hours 31 mins,4 hours 48 mins,3 hours 40 mins,4 hours 37 mins,2 hours 49 mins,3 hours 24 mins,3 hours 12 mins,5 hours 14 mins,1 hour 48 mins,4 hours 2 mins,5 hours 50 mins,6 hours 34 mins,5 hours 0 mins,4 hours 52 mins,3 hours 50 mins,3 hours 25 mins,3 hours 56 mins,1 hour 19 mins,4 hours 58 mins,6 hours 7 mins,4 hours 38 mins,2 hours 55 mins,2 hours 6 mins,4 hours 29 mins,2 hours 51 mins,4 hours 9 mins
QUETAME,4 hours 26 mins,1 hour 33 mins,3 hours 47 mins,2 hours 29 mins,3 hours 58 mins,4 hours 17 mins,3 hours 5 mins,2 hours 0 mins,2 hours 22 mins,2 hours 21 mins,5 hours 50 mins,2 hours 9 mins,2 hours 41 mins,2 hours 10 mins,3 hours 56 mins,4 hours 15 mins,2 hours 38 mins,2 hours 27 mins,3 hours 30 mins,3 hours 42 mins,3 hours 20 mins,3 hours 1 min,2 hours 6 mins,3 hours 59 mins,4 hours 15 mins,2 hours 20 mins,1 hour 40 mins,1 hour 57 mins,4 hours 16 mins,4 hours 31 mins,2 hours 12 mins,4 hours 8 mins,3 hours 45 mins,5 hours 57 mins,2 hours 52 mins,4 hours 35 mins,5 hours 5 mins,4 hours 13 mins,3 hours 12 mins,4 hours 30 mins,1 hour 46 mins,3 hours 22 mins,3 hours 31 mins,3 hours 26 mins,1 hour 41 mins,4 hours 26 mins,5 hours 19 mins,4 hours 6 mins,4 hours 44 mins,3 hours 0 mins,3 hours 25 mins,2 hours 10 mins,1 hour 21 mins,1 hour 3 mins,4 hours 25 mins,3 hours 32 mins,2 hours 19 mins,4 hours 6 mins,6 hours 56 mins,2 hours 36 mins,3 hours 46 mins,3 hours 16 mins,4 hours 37 mins,1 hour 5 mins,1 hour 5 mins,3 hours 1 min,4 hours 48 mins,4 hours 32 mins,6 hours 48 mins,4 hours 8 mins,2 hours 46 mins,3 hours 25 mins,1 min,4 hours 13 mins,2 hours 38 mins,4 hours 25 mins,3 hours 11 mins,4 hours 57 mins,4 hours 43 mins,1 hour 20 mins,2 hours 35 mins,1 hour 2 mins,3 hours 7 mins,3 hours 7 mins,3 hours 39 mins,4 hours 30 mins,2 hours 57 mins,2 hours 52 mins,2 hours 2 mins,3 hours 14 mins,1 hour 56 mins,4 hours 19 mins,3 hours 36 mins,2 hours 28 mins,3 hours 25 mins,3 hours 12 mins,2 hours 11 mins,4 hours 4 mins,4 hours 1 min,4 hours 20 mins,2 hours 50 mins,3 hours 8 mins,5 hours 22 mins,4 hours 2 mins,3 hours 57 mins,47 mins,5 hours 13 mins,1 hour 34 mins,2 hours 7 mins,3 hours 45 mins,4 hours 0 mins,3 hours 26 mins,42 mins,4 hours 25 mins,3 hours 25 mins,2 hours 21 mins,2 hours 57 mins
QUIPILE,4 hours 6 mins,3 hours 2 mins,3 hours 27 mins,3 hours 25 mins,3 hours 38 mins,3 hours 26 mins,5 hours 3 mins,3 hours 39 mins,2 hours 3 mins,2 hours 37 mins,4 hours 42 mins,5 hours 4 mins,2 hours 38 mins,5 hours 41 mins,30 mins,4 hours 12 mins,4 hours 32 mins,2 hours 32 mins,46 mins,1 hour 45 mins,3 hours 14 mins,2 hours 58 mins,2 hours 27 mins,3 hours 56 mins,3 hours 25 mins,4 hours 51 mins,2 hours 37 mins,2 hours 37 mins,1 hour 40 mins,46 mins,2 hours 17 mins,4 hours 5 mins,2 hours 55 mins,5 hours 49 mins,2 hours 47 mins,4 hours 27 mins,4 hours 57 mins,4 hours 7 mins,2 hours 22 mins,4 hours 27 mins,4 hours 42 mins,3 hours 14 mins,4 hours 35 mins,3 hours 20 mins,3 hours 20 mins,24 mins,1 hour 45 mins,4 hours 17 mins,4 hours 37 mins,2 hours 38 mins,3 hours 5 mins,6 hours 15 mins,4 hours 32 mins,3 hours 12 mins,4 hours 22 mins,3 hours 26 mins,2 hours 20 mins,4 hours 0 mins,2 hours 55 mins,2 hours 41 mins,4 hours 22 mins,3 hours 12 mins,4 hours 14 mins,3 hours 52 mins,3 hours 30 mins,3 hours 55 mins,5 hours 44 mins,3 hours 42 mins,2 hours 46 mins,3 hours 18 mins,5 hours 42 mins,5 hours 4 mins,4 hours 8 mins,1 min,3 hours 57 mins,4 hours 1 min,2 hours 49 mins,4 hours 7 mins,5 hours 26 mins,3 hours 12 mins,4 hours 14 mins,3 hours 43 mins,3 hours 1 min,2 hours 14 mins,2 hours 49 mins,4 hours 27 mins,1 hour 51 mins,2 hours 46 mins,2 hours 49 mins,3 hours 8 mins,3 hours 47 mins,4 hours 16 mins,3 hours 33 mins,2 hours 54 mins,3 hours 22 mins,2 hours 52 mins,2 hours 41 mins,3 hours 13 mins,3 hours 55 mins,3 hours 59 mins,2 hours 44 mins,5 hours 39 mins,5 hours 14 mins,1 hour 14 mins,50 mins,4 hours 27 mins,4 hours 22 mins,3 hours 59 mins,3 hours 46 mins,3 hours 42 mins,4 hours 57 mins,3 hours 20 mins,3 hours 40 mins,3 hours 40 mins,6 hours 35 mins,2 hours 42 mins,2 hours 54 mins
RICAURTE,2 hours 3 mins,1 hour 8 mins,1 hour 24 mins,58 mins,1 hour 35 mins,3 hours 41 mins,2 hours 11 mins,59 mins,2 hours 29 mins,1 hour 45 mins,4 hours 54 mins,2 hours 52 mins,2 hours 48 mins,3 hours 29 mins,3 hours 45 mins,4 hours 21 mins,1 hour 39 mins,2 hours 33 mins,3 hours 19 mins,3 hours 34 mins,3 hours 27 mins,3 hours 8 mins,2 hours 12 mins,4 hours 6 mins,2 hours 36 mins,4 hours 15 mins,1 hour 45 mins,1 hour 22 mins,4 hours 8 mins,4 hours 20 mins,1 hour 53 mins,4 hours 14 mins,3 hours 10 mins,6 hours 3 mins,2 hours 59 mins,4 hours 41 mins,5 hours 11 mins,2 hours 20 mins,2 hours 37 mins,4 hours 36 mins,2 hours 29 mins,3 hours 28 mins,2 hours 37 mins,3 hours 33 mins,1 hour 15 mins,4 hours 15 mins,5 hours 8 mins,2 hours 15 mins,4 hours 51 mins,3 hours 7 mins,1 hour 11 mins,4 hours 35 mins,3 hours 16 mins,2 hours 21 mins,4 hours 31 mins,3 hours 39 mins,1 hour 43 mins,4 hours 12 mins,6 hours 45 mins,2 hours 1 min,2 hours 44 mins,3 hours 22 mins,2 hours 34 mins,3 hours 1 min,2 hours 40 mins,3 hours 54 mins,5 hours 49 mins,3 hours 36 mins,6 hours 37 mins,3 hours 32 mins,3 hours 19 mins,2 hours 12 mins,2 hours 45 mins,4 hours 2 mins,1 min,2 hours 31 mins,2 hours 2 mins,4 hours 22 mins,5 hours 34 mins,2 hours 21 mins,1 hour 22 mins,1 hour 48 mins,3 hours 13 mins,2 hours 32 mins,3 hours 4 mins,4 hours 36 mins,2 hours 27 mins,2 hours 58 mins,2 hours 7 mins,3 hours 20 mins,2 hours 57 mins,4 hours 25 mins,3 hours 42 mins,2 hours 34 mins,3 hours 31 mins,1 hour 29 mins,2 hours 18 mins,3 hours 28 mins,4 hours 8 mins,1 hour 57 mins,2 hours 56 mins,5 hours 3 mins,5 hours 28 mins,3 hours 54 mins,3 hours 46 mins,3 hours 4 mins,4 hours 16 mins,3 hours 9 mins,1 hour 4 mins,3 hours 52 mins,5 hours 1 min,3 hours 32 mins,2 hours 8 mins,2 hours 2 mins,4 hours 43 mins,1 hour 40 mins,3 hours 4 mins
SAN ANTONIO DEL TEQUENDAMA,30 mins,3 hours 19 mins,1 hour 11 mins,2 hours 36 mins,58 mins,1 hour 33 mins,1 hour 21 mins,2 hours 42 mins,2 hours 44 mins,2 hours 46 mins,2 hours 29 mins,2 hours 57 mins,3 hours 18 mins,3 hours 33 mins,3 hours 34 mins,4 hours 51 mins,2 hours 55 mins,3 hours 11 mins,3 hours 8 mins,3 hours 42 mins,3 hours 54 mins,3 hours 38 mins,2 hours 46 mins,4 hours 36 mins,1 hour 53 mins,5 hours 31 mins,2 hours 53 mins,2 hours 44 mins,4 hours 16 mins,4 hours 9 mins,2 hours 25 mins,4 hours 44 mins,1 hour 12 mins,6 hours 29 mins,3 hours 26 mins,5 hours 7 mins,5 hours 36 mins,11 mins,1 hour 33 mins,5 hours 6 mins,2 hours 41 mins,3 hours 53 mins,51 mins,4 hours 0 mins,3 hours 3 mins,4 hours 4 mins,4 hours 57 mins,1 hour 11 mins,5 hours 16 mins,3 hours 17 mins,1 hour 32 mins,4 hours 39 mins,4 hours 51 mins,3 hours 28 mins,5 hours 1 min,4 hours 6 mins,2 hours 27 mins,4 hours 39 mins,6 hours 34 mins,2 hours 26 mins,38 mins,3 hours 52 mins,33 mins,4 hours 8 mins,3 hours 46 mins,4 hours 35 mins,6 hours 24 mins,1 hour 11 mins,6 hours 26 mins,1 hour 34 mins,2 hours 47 mins,1 hour 53 mins,4 hours 20 mins,3 hours 51 mins,2 hours 28 mins,1 min,2 hours 21 mins,1 hour 57 mins,6 hours 6 mins,3 hours 28 mins,2 hours 19 mins,3 hours 49 mins,3 hours 40 mins,2 hours 4 mins,1 hour 19 mins,5 hours 6 mins,1 hour 59 mins,3 hours 25 mins,3 hours 13 mins,3 hours 48 mins,4 hours 3 mins,4 hours 55 mins,4 hours 12 mins,3 hours 16 mins,4 hours 1 min,1 hour 49 mins,3 hours 1 min,1 hour 39 mins,4 hours 35 mins,53 mins,3 hours 23 mins,6 hours 19 mins,5 hours 54 mins,4 hours 2 mins,3 hours 35 mins,3 hours 42 mins,1 hour 52 mins,4 hours 14 mins,2 hours 34 mins,4 hours 22 mins,5 hours 36 mins,3 hours 59 mins,3 hours 50 mins,1 hour 6 mins,4 hours 47 mins,2 hours 44 mins,3 hours 33 mins
SAN BERNARDO,1 hour 49 mins,1 hour 41 mins,1 hour 10 mins,1 hour 32 mins,1 hour 21 mins,2 hours 6 mins,3 hours 4 mins,2 hours 18 mins,1 hour 35 mins,1 hour 12 mins,3 hours 40 mins,3 hours 53 mins,1 hour 55 mins,4 hours 30 mins,2 hours 31 mins,3 hours 28 mins,3 hours 10 mins,1 hour 40 mins,2 hours 5 mins,2 hours 39 mins,2 hours 33 mins,2 hours 15 mins,1 hour 19 mins,3 hours 12 mins,1 hour 16 mins,4 hours 8 mins,1 hour 26 mins,1 hour 16 mins,3 hours 13 mins,3 hours 5 mins,58 mins,3 hours 21 mins,1 hour 35 mins,5 hours 10 mins,2 hours 6 mins,3 hours 48 mins,4 hours 18 mins,2 hours 6 mins,1 hour 2 mins,3 hours 43 mins,3 hours 30 mins,2 hours 35 mins,2 hours 37 mins,2 hours 39 mins,1 hour 59 mins,3 hours 1 min,3 hours 54 mins,2 hours 1 min,3 hours 58 mins,2 hours 14 mins,48 mins,5 hours 3 mins,3 hours 21 mins,2 hours 0 mins,3 hours 38 mins,2 hours 45 mins,59 mins,3 hours 19 mins,5 hours 31 mins,58 mins,2 hours 30 mins,2 hours 29 mins,2 hours 20 mins,2 hours 41 mins,2 hours 18 mins,3 hours 12 mins,5 hours 1 min,2 hours 22 mins,5 hours 23 mins,1 hour 58 mins,4 hours 30 mins,3 hours 16 mins,2 hours 57 mins,2 hours 48 mins,2 hours 0 mins,2 hours 17 mins,1 min,2 hours 47 mins,4 hours 43 mins,2 hours 0 mins,2 hours 53 mins,2 hours 21 mins,2 hours 20 mins,57 mins,1 hour 29 mins,3 hours 43 mins,56 mins,2 hours 5 mins,1 hour 45 mins,2 hours 27 mins,2 hours 36 mins,3 hours 32 mins,2 hours 49 mins,1 hour 49 mins,2 hours 38 mins,35 mins,1 hour 33 mins,1 hour 53 mins,3 hours 15 mins,1 hour 43 mins,2 hours 3 mins,4 hours 55 mins,4 hours 35 mins,2 hours 59 mins,2 hours 32 mins,3 hours 16 mins,3 hours 2 mins,2 hours 47 mins,2 hours 25 mins,2 hours 59 mins,4 hours 13 mins,2 hours 39 mins,2 hours 29 mins,1 hour 17 mins,5 hours 23 mins,1 hour 21 mins,2 hours 10 mins
SAN CAYETANO,2 hours 27 mins,3 hours 28 mins,3 hours 9 mins,3 hours 51 mins,2 hours 55 mins,45 mins,3 hours 7 mins,4 hours 5 mins,3 hours 4 mins,3 hours 2 mins,1 hour 56 mins,4 hours 43 mins,3 hours 37 mins,5 hours 19 mins,3 hours 53 mins,5 hours 11 mins,4 hours 41 mins,3 hours 31 mins,3 hours 28 mins,4 hours 2 mins,4 hours 13 mins,3 hours 57 mins,3 hours 6 mins,4 hours 55 mins,3 hours 20 mins,5 hours 50 mins,3 hours 13 mins,3 hours 3 mins,4 hours 36 mins,4 hours 28 mins,2 hours 45 mins,5 hours 4 mins,1 hour 26 mins,6 hours 48 mins,3 hours 46 mins,5 hours 26 mins,5 hours 56 mins,2 hours 9 mins,1 hour 52 mins,5 hours 26 mins,4 hours 28 mins,4 hours 13 mins,2 hours 37 mins,4 hours 19 mins,3 hours 46 mins,4 hours 23 mins,5 hours 17 mins,3 hours 9 mins,5 hours 35 mins,3 hours 37 mins,3 hours 8 mins,6 hours 25 mins,5 hours 8 mins,3 hours 47 mins,5 hours 21 mins,4 hours 25 mins,2 hours 46 mins,4 hours 59 mins,6 hours 54 mins,2 hours 45 mins,2 hours 24 mins,4 hours 11 mins,2 hours 16 mins,4 hours 27 mins,4 hours 5 mins,4 hours 54 mins,6 hours 43 mins,51 mins,6 hours 45 mins,1 hour 48 mins,4 hours 33 mins,3 hours 39 mins,4 hours 44 mins,4 hours 10 mins,4 hours 19 mins,2 hours 3 mins,2 hours 44 mins,1 min,6 hours 25 mins,3 hours 47 mins,4 hours 5 mins,4 hours 8 mins,4 hours 0 mins,2 hours 19 mins,1 hour 39 mins,5 hours 26 mins,2 hours 18 mins,3 hours 45 mins,3 hours 32 mins,4 hours 7 mins,4 hours 23 mins,5 hours 14 mins,4 hours 31 mins,3 hours 36 mins,4 hours 21 mins,2 hours 55 mins,3 hours 20 mins,2 hours 0 mins,4 hours 54 mins,2 hours 51 mins,3 hours 43 mins,6 hours 38 mins,6 hours 13 mins,4 hours 22 mins,3 hours 55 mins,5 hours 3 mins,1 hour 19 mins,4 hours 34 mins,4 hours 11 mins,4 hours 41 mins,5 hours 56 mins,4 hours 19 mins,4 hours 16 mins,3 hours 3 mins,6 hours 33 mins,3 hours 8 mins,3 hours 53 mins
SAN FRANCISCO,6 hours 9 mins,4 hours 44 mins,5 hours 30 mins,5 hours 20 mins,5 hours 41 mins,5 hours 53 mins,6 hours 35 mins,5 hours 20 mins,3 hours 36 mins,4 hours 36 mins,7 hours 26 mins,5 hours 18 mins,3 hours 6 mins,4 hours 30 mins,5 hours 18 mins,1 hour 40 mins,6 hours 9 mins,3 hours 14 mins,4 hours 52 mins,4 hours 58 mins,3 hours 47 mins,2 hours 44 mins,3 hours 35 mins,2 hours 30 mins,5 hours 51 mins,2 hours 38 mins,3 hours 53 mins,4 hours 16 mins,5 hours 33 mins,5 hours 53 mins,3 hours 59 mins,2 hours 36 mins,5 hours 21 mins,6 hours 27 mins,3 hours 19 mins,5 hours 5 mins,5 hours 35 mins,6 hours 26 mins,4 hours 48 mins,2 hours 58 mins,5 hours 17 mins,3 hours 52 mins,7 hours 1 min,3 hours 53 mins,5 hours 1 min,5 hours 48 mins,6 hours 41 mins,6 hours 20 mins,5 hours 14 mins,3 hours 54 mins,5 hours 8 mins,4 hours 2 mins,3 hours 23 mins,3 hours 47 mins,2 hours 55 mins,3 hours 59 mins,4 hours 14 mins,4 hours 33 mins,8 hours 25 mins,4 hours 37 mins,6 hours 48 mins,3 hours 3 mins,6 hours 40 mins,4 hours 27 mins,4 hours 5 mins,1 hour 43 mins,58 mins,6 hours 8 mins,8 hours 10 mins,5 hours 44 mins,5 hours 38 mins,6 hours 45 mins,4 hours 43 mins,5 hours 35 mins,5 hours 38 mins,6 hours 27 mins,4 hours 54 mins,6 hours 33 mins,1 min,3 hours 29 mins,5 hours 55 mins,4 hours 34 mins,3 hours 33 mins,4 hours 40 mins,5 hours 15 mins,2 hours 39 mins,4 hours 17 mins,3 hours 21 mins,3 hours 30 mins,3 hours 41 mins,2 hours 49 mins,2 hours 28 mins,2 hours 24 mins,3 hours 21 mins,2 hours 36 mins,4 hours 55 mins,3 hours 39 mins,5 hours 40 mins,4 hours 28 mins,6 hours 3 mins,3 hours 16 mins,3 hours 26 mins,5 hours 52 mins,5 hours 19 mins,5 hours 19 mins,4 hours 24 mins,6 hours 48 mins,4 hours 7 mins,5 hours 27 mins,2 hours 11 mins,1 hour 44 mins,3 hours 52 mins,4 hours 15 mins,6 hours 7 mins,4 hours 22 mins,4 hours 37 mins,2 hours 55 mins
